id,tweet_id,retweet_count,tweet_created,tweet_location,text,airline,airline_sentiment
34,570076792993611776,0,2015-02-23 20:24:33 -0800,Texas,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,Virgin America,1
36,570051381534396416,0,2015-02-23 18:43:35 -0800,Central Texas,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,Virgin America,1
37,570045393565691904,0,2015-02-23 18:19:47 -0800,Central Texas,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",Virgin America,1
39,570035876845084672,0,2015-02-23 17:41:58 -0800,"San Francisco, CA",@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Virgin America,-1
45,570012257549070337,0,2015-02-23 16:08:07 -0800,Los Angeles,@VirginAmerica I'm #elevategold for a good reason: you rock!!,Virgin America,1
51,570006886012973056,0,2015-02-23 15:46:46 -0800,Northern Virginia,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,Virgin America,1
55,569996412286582784,0,2015-02-23 15:05:09 -0800,"new york, new york",@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,Virgin America,-1
57,569990222609412097,0,2015-02-23 14:40:33 -0800,"Bali, Republic of Indonesia",@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,Virgin America,1
61,569989034501500928,0,2015-02-23 14:35:50 -0800,"New York, NY",@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,Virgin America,-1
68,569972508499283968,0,2015-02-23 13:30:10 -0800,"New York, NY",@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Virgin America,1
69,569967019958730753,0,2015-02-23 13:08:21 -0800,New York + Panama,@VirginAmerica everything was fine until you lost my bag,Virgin America,-1
75,569941957490774016,0,2015-02-23 11:28:46 -0800,"Dallas, Texas",@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,Virgin America,1
78,569935232033366017,0,2015-02-23 11:02:02 -0800,,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Virgin America,-1
80,569933816963342337,0,2015-02-23 10:56:25 -0800,,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,Virgin America,-1
81,569933777931145216,0,2015-02-23 10:56:16 -0800,"Seattle, WA",@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,Virgin America,1
82,569933405506310144,0,2015-02-23 10:54:47 -0800,Los Angeles,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Virgin America,-1
83,569933360564342784,0,2015-02-23 10:54:36 -0800,,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,Virgin America,-1
85,569926998824394752,0,2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA",@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,Virgin America,-1
93,569911674158731264,0,2015-02-23 09:28:26 -0800,,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Virgin America,-1
101,569892199690678272,0,2015-02-23 08:11:03 -0800,,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Virgin America,-1
103,569891436100874241,0,2015-02-23 08:08:01 -0800,Floridian from Cincinnati ,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,Virgin America,-1
104,569887310713479168,0,2015-02-23 07:51:37 -0800,,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Virgin America,-1
106,569884551712886785,0,2015-02-23 07:40:39 -0800,,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,Virgin America,-1
107,569884407852437504,0,2015-02-23 07:40:05 -0800,,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,Virgin America,-1
109,569873669700358144,0,2015-02-23 06:57:25 -0800,"Washington, DC","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",Virgin America,1
111,569873665640292353,0,2015-02-23 06:57:24 -0800,"New York City, NY","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",Virgin America,1
113,569872058613673984,0,2015-02-23 06:51:01 -0800,,@VirginAmerica Have a great week 🌞✈,Virgin America,1
114,569861209781989377,0,2015-02-23 06:07:54 -0800,Earth,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,Virgin America,1
115,569847920192655361,0,2015-02-23 05:15:06 -0800,,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Virgin America,-1
116,569814339785338880,0,2015-02-23 03:01:39 -0800,"Halifax, Nova Scotia, Canada","@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",Virgin America,1
118,569774078233419776,0,2015-02-23 00:21:40 -0800,"Near a park, water, or lights",@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,Virgin America,1
119,569770363623575552,0,2015-02-23 00:06:55 -0800,USA,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Virgin America,1
120,569748316776325120,0,2015-02-22 22:39:18 -0800,San Francisco CA,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,Virgin America,-1
122,569737603617943552,0,2015-02-22 21:56:44 -0800,,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,Virgin America,-1
127,569652497947734017,0,2015-02-22 16:18:33 -0800,,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,Virgin America,1
130,569642845516275712,0,2015-02-22 15:40:12 -0800,,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,Virgin America,-1
133,569633279546036224,0,2015-02-22 15:02:11 -0800,,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,Virgin America,-1
135,569627480425766912,0,2015-02-22 14:39:09 -0800,"Oakland, California",@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,Virgin America,-1
136,569625739231948800,1,2015-02-22 14:32:14 -0800,,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,Virgin America,1
138,569620102389350401,0,2015-02-22 14:09:50 -0800,All Over!,@VirginAmerica always!!! Xoxo,Virgin America,1
139,569619569372823552,0,2015-02-22 14:07:43 -0800,"Providence, RI",@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,Virgin America,-1
140,569618527948115968,0,2015-02-22 14:03:34 -0800,San Diego,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,Virgin America,-1
141,569616490380439552,0,2015-02-22 13:55:28 -0800,"Los Angeles, CA",@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,Virgin America,1
143,569614365755899905,0,2015-02-22 13:47:02 -0800,New York,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,Virgin America,-1
145,569609971383586817,0,2015-02-22 13:29:34 -0800,"iPhone: 29.741360,-90.131523","@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",Virgin America,-1
146,569608328998887424,0,2015-02-22 13:23:03 -0800,Los Angeles,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,Virgin America,-1
147,569599867716132864,2,2015-02-22 12:49:25 -0800,"hollywood, california",Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,Virgin America,1
148,569596445680115712,0,2015-02-22 12:35:49 -0800,"Washington, DC",@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,Virgin America,1
150,569594386066984960,0,2015-02-22 12:27:38 -0800,Las Vegas,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,Virgin America,-1
152,569580805036453888,0,2015-02-22 11:33:40 -0800,San Francisco,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),Virgin America,1
158,569572740723712001,0,2015-02-22 11:01:38 -0800,CA,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,Virgin America,-1
159,569566981835218944,0,2015-02-22 10:38:45 -0800,@ the moment in New Delhi,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",Virgin America,-1
160,569564853460807680,0,2015-02-22 10:30:17 -0800,Brooklyn,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Virgin America,-1
161,569564610837086209,0,2015-02-22 10:29:19 -0800,Brooklyn,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Virgin America,-1
162,569562202405019650,0,2015-02-22 10:19:45 -0800,"Washington, DC",@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,Virgin America,-1
165,569494748341407744,0,2015-02-22 05:51:43 -0800,"Washington, DC",@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Virgin America,-1
168,569461469042966528,0,2015-02-22 03:39:28 -0800,"Philadelphia, Pa",@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,Virgin America,-1
176,569354267854704641,0,2015-02-21 20:33:30 -0800,Barbados ,@VirginAmerica Thank you for the follow,Virgin America,1
177,569351220097216512,0,2015-02-21 20:21:23 -0800,,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,Virgin America,-1
178,569348775631675392,0,2015-02-21 20:11:40 -0800,,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,Virgin America,-1
181,569323082701275138,0,2015-02-21 18:29:35 -0800,Northern Virginia,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,Virgin America,-1
182,569318651502989312,0,2015-02-21 18:11:58 -0800,"Boston, MA",@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Virgin America,-1
183,569318130356502528,0,2015-02-21 18:09:54 -0800,Worldwide,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,Virgin America,1
184,569316358845911040,0,2015-02-21 18:02:51 -0800,LaLa Land,@VirginAmerica Only way to fly! #Elevate #Gold,Virgin America,1
186,569311060903268352,0,2015-02-21 17:41:48 -0800,,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",Virgin America,-1
187,569310635986546688,0,2015-02-21 17:40:07 -0800,"Las Vegas, NV",@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,Virgin America,-1
189,569304436612444160,0,2015-02-21 17:15:29 -0800,DC - LA - Venice Beach,@VirginAmerica you will match my #AmericanAirlines status? Cool!,Virgin America,1
192,569303931916038144,0,2015-02-21 17:13:29 -0800,,@VirginAmerica you suck!,Virgin America,-1
193,569298165855338497,0,2015-02-21 16:50:34 -0800,BAYAREA✈️NYC,@VirginAmerica thanks!,Virgin America,1
194,569290361870426112,0,2015-02-21 16:19:33 -0800,"Washington, DC",@VirginAmerica Just DM'd. Same issue persisting.,Virgin America,-1
195,569282249717194754,0,2015-02-21 15:47:19 -0800,New York City ,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,Virgin America,-1
197,569277352129138688,0,2015-02-21 15:27:52 -0800,MA // Ashton in Wonderland,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,Virgin America,-1
204,569253311813185537,0,2015-02-21 13:52:20 -0800,"Los Angeles, California",@VirginAmerica Keep up the great work :),Virgin America,1
208,569248400836726786,0,2015-02-21 13:32:49 -0800,,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",Virgin America,1
209,569247769166266368,0,2015-02-21 13:30:18 -0800,CT,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,Virgin America,-1
210,569247394002563072,0,2015-02-21 13:28:49 -0800,CT,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,Virgin America,-1
212,569240250192670720,0,2015-02-21 13:00:26 -0800,"New York, NY",@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,Virgin America,1
213,569238877178716161,0,2015-02-21 12:54:58 -0800,,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,Virgin America,-1
216,569236251129163777,0,2015-02-21 12:44:32 -0800,"Silicon Valley, California","@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",Virgin America,-1
217,569230983075115010,0,2015-02-21 12:23:36 -0800,"New York, NY",@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,Virgin America,-1
218,569229785500680192,0,2015-02-21 12:18:51 -0800,"New York, NY","@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",Virgin America,-1
219,569226875349835776,0,2015-02-21 12:07:17 -0800,chile,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,Virgin America,-1
220,569224234150404096,0,2015-02-21 11:56:47 -0800,"California, USA",@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,Virgin America,-1
221,569223788639821824,0,2015-02-21 11:55:01 -0800,"California, USA",@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,Virgin America,-1
222,569222494952886272,0,2015-02-21 11:49:53 -0800,,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,Virgin America,1
223,569221440794271745,0,2015-02-21 11:45:41 -0800,,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,Virgin America,1
224,569221156504530944,0,2015-02-21 11:44:33 -0800,,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,Virgin America,-1
226,569218762907324416,0,2015-02-21 11:35:03 -0800,SF Bay Area,@VirginAmerica hold times at call center are a bit much,Virgin America,-1
227,569212570478911489,0,2015-02-21 11:10:26 -0800,"Los Angeles, CA",@VirginAmerica Like http://t.co/VPqEm31XUQ,Virgin America,1
229,569209566715469824,0,2015-02-21 10:58:30 -0800,"Los Angeles, CA",@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,Virgin America,1
231,569205125278859265,0,2015-02-21 10:40:51 -0800,Massachusetts,@VirginAmerica thanks so much!,Virgin America,1
232,569204272795004928,0,2015-02-21 10:37:28 -0800,"Los Angeles, CA","@VirginAmerica Trying to reset my password, email never arrives. Help?",Virgin America,-1
233,569202691185909760,0,2015-02-21 10:31:11 -0800,New York,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",Virgin America,1
234,569201943131738113,0,2015-02-21 10:28:13 -0800,Las Vegas,@VirginAmerica Very nicely done. 👏,Virgin America,1
235,569200619430420480,0,2015-02-21 10:22:57 -0800,Massachusetts,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),Virgin America,1
236,569200606595952640,0,2015-02-21 10:22:54 -0800,,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,Virgin America,-1
237,569198782421663745,0,2015-02-21 10:15:39 -0800,,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",Virgin America,-1
238,569198104806699008,0,2015-02-21 10:12:58 -0800,,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,Virgin America,1
239,569197967959154688,0,2015-02-21 10:12:25 -0800,"CALIFORNIA, USA",@VirginAmerica sounds like fun !,Virgin America,1
243,569182336715243520,0,2015-02-21 09:10:18 -0800,Somewhere outside of Fenway,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",Virgin America,-1
244,569180623165915137,0,2015-02-21 09:03:30 -0800,Abuja,"@VirginAmerica classiq, luv Virgin America. Greetingz",Virgin America,1
245,569179517522046977,0,2015-02-21 08:59:06 -0800,chile,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",Virgin America,-1
246,569176777056079874,0,2015-02-21 08:48:13 -0800,"Los Angeles, CA",@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Virgin America,1
247,569165709516759042,0,2015-02-21 08:04:14 -0800,"Las Piedras, Peru",@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,Virgin America,1
248,569110766235877376,0,2015-02-21 04:25:54 -0800,"Charlestown, MA",@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,Virgin America,1
250,569028851860254720,0,2015-02-20 23:00:24 -0800,San Francisco,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,Virgin America,-1
251,569022319437357056,0,2015-02-20 22:34:27 -0800,Las Vegas,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,Virgin America,-1
254,569011849976348672,0,2015-02-20 21:52:51 -0800,#SF#Optimist #Freefalling,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,Virgin America,1
259,568945958970531840,0,2015-02-20 17:31:01 -0800,"Los Angeles, CA",@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,Virgin America,-1
262,568942331921092608,0,2015-02-20 17:16:37 -0800,San Francisco,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,Virgin America,-1
263,568940002849255425,0,2015-02-20 17:07:21 -0800,Montreal,@VirginAmerica there is something wrong with you website in Safari iPhone,Virgin America,-1
264,568929979981033472,1,2015-02-20 16:27:32 -0800,"Orange County, CA",@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,Virgin America,1
265,568929026644975616,0,2015-02-20 16:23:44 -0800,San Francisco,@VirginAmerica Already checked in so the page expired :X,Virgin America,-1
266,568928741298012160,0,2015-02-20 16:22:36 -0800,,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,Virgin America,-1
272,568911350656675841,0,2015-02-20 15:13:30 -0800,Boca Raton FL 33434,@VirginAmerica your inflight team makes the experience #amazing!,Virgin America,1
273,568910590921609216,0,2015-02-20 15:10:29 -0800,Follow/Retweet for giveaways!,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,Virgin America,1
274,568901823215448064,0,2015-02-20 14:35:38 -0800,Los Angeles,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",Virgin America,-1
277,568890074164809728,0,2015-02-20 13:48:57 -0800,Follow/Retweet for giveaways!,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-),Virgin America,1
280,568882014415249408,0,2015-02-20 13:16:56 -0800,,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,Virgin America,-1
281,568874645564362752,0,2015-02-20 12:47:39 -0800,"NY, NY",@VirginAmerica Thank you!!,Virgin America,1
282,568868127364096000,0,2015-02-20 12:21:45 -0800,Rijswijk ♡ The Netherlands,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,Virgin America,-1
287,568853685855334400,0,2015-02-20 11:24:22 -0800,,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,Virgin America,-1
288,568850967673896960,0,2015-02-20 11:13:34 -0800,dc,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,Virgin America,-1
289,568850943359496192,0,2015-02-20 11:13:28 -0800,"San Francisco, CA",@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),Virgin America,-1
298,568830133626253312,0,2015-02-20 09:50:46 -0800,"New York, NY",@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,Virgin America,-1
301,568824637267685377,0,2015-02-20 09:28:56 -0800,San Francisco,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr,Virgin America,-1
304,568812046747201537,1,2015-02-20 08:38:54 -0800,,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",Virgin America,-1
306,568805696780824576,0,2015-02-20 08:13:40 -0800,"Hoboken, NJ",@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,Virgin America,1
307,568803996774879232,0,2015-02-20 08:06:55 -0800,New York City,"@VirginAmerica I mean. Probably inappropriate while on board.. But, it's on!",Virgin America,1
308,568802396907835393,0,2015-02-20 08:00:33 -0800,"San Francisco, CA",@VirginAmerica happy to spend the day together. Let's do this!,Virgin America,1
314,568790164404899840,0,2015-02-20 07:11:57 -0800,"Brooklyn, NY",@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD,Virgin America,-1
316,568775898234798081,0,2015-02-20 06:15:16 -0800,"Brooklyn, NY",@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,Virgin America,-1
317,568769672922812418,0,2015-02-20 05:50:31 -0800,"San Francisco, CA","@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW",Virgin America,-1
321,568662343170674688,0,2015-02-19 22:44:02 -0800,"San Francisco, CA",@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,Virgin America,-1
324,568633361595412481,0,2015-02-19 20:48:52 -0800,"Dutchess County, NY",@VirginAmerica @SSal thanks!,Virgin America,1
332,568604690767872000,0,2015-02-19 18:54:57 -0800,At an airport near you....,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,Virgin America,1
334,568595620002279424,0,2015-02-19 18:18:54 -0800,,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,Virgin America,-1
338,568576829000425472,0,2015-02-19 17:04:14 -0800,Northern Virginia,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,Virgin America,-1
341,568553610981740544,0,2015-02-19 15:31:58 -0800,"Portland, OR","@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.",Virgin America,1
342,568543525505089536,0,2015-02-19 14:51:54 -0800,SD/LA/PS,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,Virgin America,1
344,568536882012749824,0,2015-02-19 14:25:30 -0800, DC | Jersey City,@VirginAmerica trying to check-in...but looks like your site is down?,Virgin America,-1
347,568525368572817408,0,2015-02-19 13:39:45 -0800,"Portland, Oregon","@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",Virgin America,1
